generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1774184470-yLhnKKPsAX0MueeYuwgR,2026-03-22 13:01:10.565,0.000214,,,0,0,230,32,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1623,1489,,tgassistant_gemini
gen-1774184463-MwjmkUyP0U4fiIvyVWe7,2026-03-22 13:01:03.353,0.00026,,,0,0,230,51,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1801,1766,,tgassistant_gemini
gen-1774184458-OCQNNTamByRZ3JoSYaAU,2026-03-22 13:00:58.421,0.000243,,,0,0,230,44,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1594,1424,,tgassistant_gemini
gen-1774184405-Kb3UnDrPCNRznSzKF16E,2026-03-22 13:00:05.257,0.000204,,,0,0,248,23,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1480,1385,,tgassistant_gemini
gen-1774184398-jkZUI33Lox3ZA7kp4Bws,2026-03-22 12:59:58.070,0.000201,,,0,0,248,22,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1860,1770,,tgassistant_gemini
gen-1774184393-DPe5q24RrNcnRDkrNR7F,2026-03-22 12:59:53.185,0.000206,,,0,0,248,24,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1668,1556,,tgassistant_gemini
gen-1774183546-gfw74bhYaxHayNBVGUff,2026-03-22 12:45:46.657,0.000267,,,0,0,230,54,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1812,1618,,tgassistant_gemini
gen-1774183539-MnTIOyyDxAZ6ffueCN5j,2026-03-22 12:45:39.130,0.000267,,,0,0,230,54,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1923,1661,,tgassistant_gemini
gen-1774183533-uHHoKyY3aWKl3abunCFJ,2026-03-22 12:45:33.979,0.000306,,,0,0,230,70,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1527,1275,,tgassistant_gemini
gen-1774183479-jAOSWWM5vEHApIjeAqQM,2026-03-22 12:44:39.897,0.000206,,,0,0,248,24,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1902,1764,,tgassistant_gemini
gen-1774183472-yBIaZquzrf68JasBAb2w,2026-03-22 12:44:32.946,0.000201,,,0,0,248,22,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1364,1267,,tgassistant_gemini
gen-1774183468-wQazulP66PGch99GY8Xr,2026-03-22 12:44:28.102,0.000204,,,0,0,248,23,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1402,1306,,tgassistant_gemini
gen-1774182621-WLva5isI9FC5ArWLvaeu,2026-03-22 12:30:21.497,0.000253,,,0,0,230,48,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1664,1482,,tgassistant_gemini
gen-1774182614-2haSogGvcrjaUCsSmFsD,2026-03-22 12:30:14.533,0.000274,,,0,0,230,57,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1208,1140,,tgassistant_gemini
gen-1774182609-mTYnizS9XBO6bZCnj3On,2026-03-22 12:30:09.486,0.000202,,,0,0,230,27,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1763,1648,,tgassistant_gemini
gen-1774182556-0fthCnfoFCCluUSWrGKw,2026-03-22 12:29:16.206,0.000204,,,0,0,248,23,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1399,1295,,tgassistant_gemini
gen-1774182549-FxzS0GMXzf0lGYafBTFT,2026-03-22 12:29:09.426,0.000175,,,0,0,248,11,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1434,1380,,tgassistant_gemini
gen-1774182544-wIUqISTAQJoCbdDn96PA,2026-03-22 12:29:04.385,0.000201,,,0,0,248,22,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1676,1576,,tgassistant_gemini
gen-1774181698-vk0XLqnAoc01tHAH6nD1,2026-03-22 12:14:58.576,0.00025,,,0,0,230,47,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1683,1497,,tgassistant_gemini
gen-1774181691-1SYtFrqLEOkU9oacU55k,2026-03-22 12:14:51.533,0.000265,,,0,0,230,53,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1681,1470,,tgassistant_gemini
gen-1774181686-SHv5LJtJWkoEQTy0LWjt,2026-03-22 12:14:46.542,0.000243,,,0,0,230,44,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1541,1273,,tgassistant_gemini
gen-1774181633-NtMVFqHoXqbtRUpb9hih,2026-03-22 12:13:53.123,0.000204,,,0,0,248,23,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1700,1597,,tgassistant_gemini
gen-1774181626-H1IxIDVR0blwA684hrym,2026-03-22 12:13:46.254,0.000204,,,0,0,248,23,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1360,1257,,tgassistant_gemini
gen-1774181621-9c8JMLoPiqOntQqgskSR,2026-03-22 12:13:41.475,0.000201,,,0,0,248,22,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1259,1168,,tgassistant_gemini
gen-1774180775-vAXG9aZP4LrXID5IK5Ck,2026-03-22 11:59:35.466,0.000337,,,0,0,230,83,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1715,1397,,tgassistant_gemini
gen-1774180768-5VsZNIIzEiuD7iv0uo3P,2026-03-22 11:59:28.491,0.000255,,,0,0,230,49,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1323,1121,,tgassistant_gemini
gen-1774180763-ymbcFcNY5LScXwASxgNk,2026-03-22 11:59:23.555,0.00027,,,0,0,230,55,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1430,1203,,tgassistant_gemini
gen-1774180710-eaoWCLW8tiWol3RaAogv,2026-03-22 11:58:30.259,0.000199,,,0,0,248,21,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1358,1267,,tgassistant_gemini
gen-1774180702-PKv0DyuL8XXvE3V7W0RZ,2026-03-22 11:58:22.794,0.000206,,,0,0,248,24,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1709,1601,,tgassistant_gemini
gen-1774180697-h1k6N3sSjgwzGRl7aAQX,2026-03-22 11:58:17.271,0.000206,,,0,0,248,24,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1494,1386,,tgassistant_gemini
gen-1774179851-3qn2mtN4vXyxXM8QEkmq,2026-03-22 11:44:11.365,0.00025,,,0,0,230,47,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1611,1409,,tgassistant_gemini
gen-1774179843-LRegBMglPhMQDykvFdUG,2026-03-22 11:44:03.451,0.000294,,,0,0,230,65,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1668,1458,,tgassistant_gemini
gen-1774179837-7XRhNY9zwPCQ6gqOMzbg,2026-03-22 11:43:57.731,0.000298,,,0,0,230,67,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1878,1608,,tgassistant_gemini
gen-1774179783-leBSRv3umG38NatS4TAB,2026-03-22 11:43:03.942,0.000206,,,0,0,248,24,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1634,1522,,tgassistant_gemini
gen-1774179776-WvhH2PZ2FxxFVNJSHHkA,2026-03-22 11:42:56.721,0.000201,,,0,0,248,22,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1462,1362,,tgassistant_gemini
gen-1774179770-ORuDv6B0vwM0ASWZivvC,2026-03-22 11:42:50.904,0.000204,,,0,0,248,23,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,2060,1944,,tgassistant_gemini
gen-1774178924-GKLdMbI40n8gjP0HpAuw,2026-03-22 11:28:44.061,0.00026,,,0,0,230,51,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1370,1307,,tgassistant_gemini
gen-1774178916-WMO9RRFVILAc8OVoMs5z,2026-03-22 11:28:36.407,0.000282,,,0,0,230,60,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1726,1481,,tgassistant_gemini
gen-1774178911-xqOMFyvXFJVVQkIExJJg,2026-03-22 11:28:31.049,0.000253,,,0,0,230,48,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1445,1262,,tgassistant_gemini
gen-1774178856-7DEYsZ0FO13YsmLlStGg,2026-03-22 11:27:36.821,0.000206,,,0,0,248,24,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1806,1702,,tgassistant_gemini
gen-1774178848-sPKiK8cCw6l2ClvIPcIs,2026-03-22 11:27:28.573,0.000206,,,0,0,248,24,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1856,1753,,tgassistant_gemini
gen-1774178843-FOXcz7KfRSf9lBL29oAr,2026-03-22 11:27:23.326,0.000201,,,0,0,248,22,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1639,1544,,tgassistant_gemini
gen-1774178006-u2VSmDoHSE5waosIKlnz,2026-03-22 11:13:26.693,0.000286,,,0,0,230,62,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1902,1649,,tgassistant_gemini
gen-1774177999-rJUVIZvMqxKcoXUo0sY7,2026-03-22 11:13:19.475,0.000342,,,0,0,230,85,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1531,1220,,tgassistant_gemini
gen-1774177994-SgpS3giEEQTD8Xhex8bz,2026-03-22 11:13:14.133,0.000298,,,0,0,230,67,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1571,1308,,tgassistant_gemini
gen-1774177930-JDjR90qwMItxeVjBkBCP,2026-03-22 11:12:10.545,0.000175,,,0,0,248,11,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1150,1103,,tgassistant_gemini
gen-1774177923-dVNN4v8G5n1v8iEpl8qp,2026-03-22 11:12:03.157,0.000216,,,0,0,248,28,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1514,1402,,tgassistant_gemini
gen-1774177918-xYPSDeufHPmFgFUMYHDN,2026-03-22 11:11:58.098,0.000206,,,0,0,248,24,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1455,1349,,tgassistant_gemini
gen-1774177381-tqCoPWftwn8cU60WBMUT,2026-03-22 11:03:01.110,0.0002,,,0,0,944,98,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,2282,389,,tgasistant_claude
gen-1774177363-kZSC1SuRnlWJR6flxq1J,2026-03-22 11:02:43.566,0.001807,,-0.000483,0,0,4239,2886,1235,3222,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,16738,8965,,tgasistant_claude
gen-1774177359-P1s4CxBJVJXaNBiMnrtc,2026-03-22 11:02:39.039,0.000508,,,0,0,2789,150,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,4238,871,,tgasistant_claude
gen-1774177338-2ezXcFB2ZuL6pF962EKP,2026-03-22 11:02:18.510,0.001665,,-0.00051,0,0,4107,2709,1338,3400,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,19749,13166,,tgasistant_claude
gen-1774177315-gr2JLXKbvFYmPAzZ1PyM,2026-03-22 11:01:55.510,0.002214,,-0.000483,0,0,4786,3481,1327,3224,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,25536,12085,,tgasistant_claude
gen-1774177315-VVuc2OzCJxgYvZT9cGa1,2026-03-22 11:01:55.434,0.001982,,-0.000483,0,0,4202,3252,2066,3226,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,22328,15195,,tgasistant_claude
