ts_utc	pending_sessions	msg_status_1	msg_status_3	extractions_total	nonempty_extractions	usage_events	usage_tokens	usage_cost_usd	errors_30m
2026-03-17T08:04:11Z	5	406	0	0	0	0	0	0	0
2026-03-17T08:04:12Z	5	406	0	0	0	0	0	0	0
2026-03-17T08:04:21Z	5	406	0	0	0	0	0	0	0
2026-03-17T08:04:22Z	5	406	0	0	0	0	0	0	0
2026-03-17T08:04:31Z	5	406	0	0	0	0	0	0	0
2026-03-17T08:04:32Z	5	406	0	0	0	0	0	0	0
2026-03-17T08:04:41Z	5	406	0	0	0	0	0	0	0
2026-03-17T08:04:42Z	5	406	0	0	0	0	0	0	0
2026-03-17T08:04:51Z	5	406	0	0	0	0	0	0	0
2026-03-17T08:04:52Z	5	406	0	0	0	0	0	0	0
2026-03-17T08:05:02Z	5	406	0	0	0	1	9170	0.002635	0
2026-03-17T08:05:02Z	5	406	0	0	0	1	9170	0.002635	0
2026-03-17T08:05:12Z	5	406	0	0	0	1	9170	0.002635	0
2026-03-17T08:05:13Z	5	406	0	0	0	1	9170	0.002635	0
2026-03-17T08:05:22Z	5	406	0	0	0	3	27016	0.007669	0
2026-03-17T08:05:23Z	5	406	0	0	0	3	27016	0.007669	0
2026-03-17T08:05:32Z	5	406	0	0	0	3	27016	0.007669	0
2026-03-17T08:05:33Z	5	406	0	0	0	3	27016	0.007669	0
2026-03-17T08:05:42Z	5	406	0	0	0	4	34713	0.009741	0
2026-03-17T08:05:43Z	5	406	0	0	0	4	34713	0.009741	0
2026-03-17T08:05:52Z	5	406	0	0	0	4	34713	0.009741	0
2026-03-17T08:05:53Z	5	406	0	0	0	5	43201	0.012072	0
2026-03-17T08:06:02Z	5	406	0	0	0	5	43201	0.012072	0
2026-03-17T08:06:03Z	5	406	0	0	0	5	43201	0.012072	0
2026-03-17T08:06:13Z	5	406	0	0	0	5	43201	0.012072	0
2026-03-17T08:06:14Z	5	406	0	0	0	5	43201	0.012072	0
2026-03-17T08:06:23Z	5	406	0	0	0	5	43201	0.012072	0
2026-03-17T08:06:24Z	5	406	0	0	0	5	43201	0.012072	0
2026-03-17T08:06:33Z	5	406	0	0	0	5	43201	0.012072	0
2026-03-17T08:06:34Z	5	406	0	0	0	5	43201	0.012072	0
2026-03-17T08:06:43Z	5	406	0	0	0	5	43201	0.012072	0
2026-03-17T08:06:44Z	5	406	0	0	0	5	43201	0.012072	0
2026-03-17T08:06:53Z	5	406	0	0	0	5	43201	0.012072	0
2026-03-17T08:06:54Z	5	406	0	0	0	5	43201	0.012072	0
2026-03-17T08:07:03Z	5	406	0	0	0	6	53026	0.014912	0
2026-03-17T08:07:04Z	5	406	0	0	0	6	53026	0.014912	0
2026-03-17T08:07:14Z	5	406	0	0	0	7	62567	0.017239	0
2026-03-17T08:07:15Z	5	406	0	0	0	7	62567	0.017239	0
2026-03-17T08:07:24Z	5	406	0	0	0	7	62567	0.017239	0
2026-03-17T08:07:25Z	5	406	0	0	0	7	62567	0.017239	0
2026-03-17T08:07:34Z	5	406	0	0	0	7	62567	0.017239	0
2026-03-17T08:07:35Z	5	406	0	0	0	7	62567	0.017239	0
2026-03-17T08:07:44Z	5	406	0	0	0	7	62567	0.017239	0
2026-03-17T08:07:45Z	5	406	0	0	0	7	62567	0.017239	0
2026-03-17T08:07:54Z	5	406	0	0	0	7	62567	0.017239	0
2026-03-17T08:07:55Z	5	406	0	0	0	7	62567	0.017239	0
